"Why is the duration calculated when I apply for leave different to my hours of work "	"I do not know why the duration is calculated when you apply for leave different to your hours of work"	"WQUES"
"Where do I go to change my beneficiaries "	"I do not know where you go to change your beneficiaries"	"WQUES"
"What are the terms of my contract "	"I do not know what the terms of your contract are"	"WQUES"
"Does Zoo College provide me with standard college or university credits toward my degree "	"I do not know if Zoo College provide you with standard college or university credits toward your degree"	"DO_QUESTION"
"Can you help me take this to my car "	"I do not know if I can help you take this to your car"	"BE_HAVE_MD_QUESTION"
"Why can the system build such a profile , or what is the scientific foundation of it "	"I do not know why can the system build such a profile , or what is the scientific foundation of it"	"WSUBJ"
"Do you all have this dress in a size 6 "	"I do not know if I all have this dress in a size 6"	"DO_QUESTION"
"When is my start date "	"I do not know when your start date is"	"WQUES"
"Do you have any special offers on items this month "	"I do not know if I have any special offers on items this month"	"DO_QUESTION"
"I have a membership , but never used it online . What should I do "	"I do not know how to but never used it"	"IMPERATIVE"
"How do I order a card for my spouse "	"I do not know how you order a card for your spouse"	"WQUES"
"Can I still buy tickets online "	"I do not know if you can still buy tickets online"	"BE_HAVE_MD_QUESTION"
"I do n't see the Windows 8.1 or Windows 10 edition I 'm looking for . Where else should I check "	"I do not know where else you should check"	"WQUES"
"Did my card go through"	"I do not know if your card went through"	"DO_QUESTION"
"Are your prices the same in the store and online , or do you run different specials online "	"I do not know if my prices are the same in the store and online , or I run different specials online"	"BE_HAVE_MD_QUESTION"
"Why am I being charged extra for this "	"I do not know why you are being charged extra for this"	"WQUES"
"Do you sell floor mats "	"I do not know if I sell floor mats"	"DO_QUESTION"
"What are the benefits of learning Ballroom dancing "	"I do not know what the benefits of learning Ballroom dancing are"	"WQUES"
"I would like to buy a new laptop but it wo n't let me add it to my cart "	"I do not know how to handle 'I would like to buy a new laptop but it wo n't let me add it to my cart '"	"CANONICAL_IDK"
"I bought a couple of things right now , checked out , but realized I forgot a couple of things and am wondering if I can add them to my order "	"I do not know how to checked"	"IMPERATIVE"
"What hours is your store open "	"I do not know what hours is my store open"	"WQUES_SIMPLE"
"If , due to a disability , I am unable to travel to an IDNYC enrollment center , how can I apply for my IDNYC card "	"I do not know how you If , due to a disability , you are unable to travel to an IDNYC enrollment center , can apply for your IDNYC card"	"WQUES"
"What if I do not speak English "	"I do not know what you if not speak English"	"WQUES"
"I need to verify that you have my correct phone number "	"I do not know how to handle 'I need to verify that you have my correct phone number '"	"CANONICAL_IDK"
"Is photography permitted in the Anne Frank House "	"I do not know if photography is permitted in the Anne Frank House"	"BE_HAVE_MD_QUESTION"
"I want to screen the film in my home . Do I still need to buy a license "	"I do not know how to screen the film in your home ."	"IMPERATIVE"
"What do I do if my package gets lost "	"I do not know what you do if your package gets lost"	"WQUES"
"When must flexible retention periods be applied consistently across an agency or office "	"I do not know when flexible retention periods must be applied consistently across an agency or office"	"WQUES"
"When I am automatically upgraded , how do you assign my seat "	"I do not know when you are automatically upgraded , how I assign your seat"	"WQUES"
